,Species,Variety,Country_of_Origin,Mill,ICO_number,Company,Region,Producer,Number_of_Bags,Bag_Weight,Harvest_Year,Grading_Date,Owner_1,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Cupper_Points,Total_Cup_Points,Moisture,Quakers,Color,Category_One_Defects,Category_Two_Defects,Expiration,Certification_Body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Altitude
0,Arabica,Other_2,Ethiopia,metad plc,2014/2015,metad agricultural developmet plc,guji-hambela,METAD PLC,300,60 kg,2014,"April 4th, 2015",metad plc,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0.0,Green,0,0,"April 3rd, 2016",METAD Agricultural Development plc,m,1950.0,2200.0,2075.0,1950-2200
1,Arabica,Other,Ethiopia,metad plc,2014/2015,metad agricultural developmet plc,guji-hambela,METAD PLC,300,60 kg,2014,"April 4th, 2015",metad plc,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0.0,Green,0,1,"April 3rd, 2016",METAD Agricultural Development plc,m,1950.0,2200.0,2075.0,1950-2200
2,Arabica,Bourbon,Guatemala,,,,,,5,1,,"May 31st, 2010",Grounds for Health Admin,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,0.0,,0,0,"May 31st, 2011",Specialty Coffee Association,m,1600.0,1800.0,1700.0,1600 - 1800 m
3,Arabica,Other_2,Ethiopia,wolensu,,yidnekachew debessa coffee plantation,oromia,Yidnekachew Dabessa Coffee Plantation,320,60 kg,2014,"March 26th, 2015",Yidnekachew Dabessa,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0.0,Green,0,2,"March 25th, 2016",METAD Agricultural Development plc,m,1800.0,2200.0,2000.0,1800-2200
4,Arabica,Other,Ethiopia,metad plc,2014/2015,metad agricultural developmet plc,guji-hambela,METAD PLC,300,60 kg,2014,"April 4th, 2015",metad plc,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0.0,Green,0,2,"April 3rd, 2016",METAD Agricultural Development plc,m,1950.0,2200.0,2075.0,1950-2200
5,Arabica,Other_2,Brazil,,,,,,100,30 kg,2013,"September 3rd, 2013",Ji-Ae Ahn,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0.0,Bluish-Green,0,1,"September 3rd, 2014",Specialty Coffee Institute of Asia,m,1095.0,1200.0,1100.0,
6,Arabica,Other,Peru,hvc,,richmond investment-coffee department,,HVC,100,69 kg,2012,"September 17th, 2012",Hugo Valdivia,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0.0,Bluish-Green,0,0,"September 17th, 2013",Specialty Coffee Institute of Asia,m,1095.0,1200.0,1100.0,
7,Arabica,Other_2,Ethiopia,c.p.w.e,010/0338,,oromia,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0.0,,0,0,"September 2nd, 2011",Ethiopia Commodity Exchange,m,1570.0,1700.0,1635.0,1570-1700
8,Arabica,Other_2,Ethiopia,c.p.w.e,010/0338,,oromiya,Bazen Agricultural & Industrial Dev't Plc,300,60 kg,March 2010,"September 2nd, 2010",Ethiopia Commodity Exchange,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0.0,,0,0,"September 2nd, 2011",Ethiopia Commodity Exchange,m,1570.0,1700.0,1635.0,1570-1700
9,Arabica,Other,Ethiopia,tulla coffee farm,2014/15,diamond enterprise plc,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60 kg,2014,"March 30th, 2015",Diamond Enterprise Plc,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0.0,Green,0,4,"March 29th, 2016",METAD Agricultural Development plc,m,1795.0,1850.0,1822.5,1795-1850
